state,voice_index,econ_index,violence_pct,gap,type
Karnataka,28.22,84.89,44.4,-56.67,Economy-led
Andhra Pradesh,19.71,70.2,30.0,-50.49,Economy-led
Telangana,38.48,87.23,36.9,-48.75,Economy-led
Ladakh,40.51,78.78,18.1,-38.27,Economy-led
Chhattisgarh,34.8,64.24,20.2,-29.44,Economy-led
Madhya Pradesh,14.89,42.43,28.1,-27.54,Economy-led
Odisha,37.07,57.09,30.6,-20.02,Economy-led
Jammu & Kashmir,38.01,56.29,9.6,-18.28,Economy-led
Jharkhand,38.15,53.86,31.5,-15.71,Economy-led
Dadra & Nagar Haveli and Daman & Diu,51.46,66.67,16.8,-15.21,Economy-led
Tamil Nadu,67.23,80.99,38.1,-13.76,Economy-led
Uttar Pradesh,26.74,39.31,34.8,-12.57,Economy-led
Bihar,28.46,40.0,40.0,-11.54,Economy-led
Punjab,50.79,59.95,11.6,-9.16,Economy-led
Arunachal Pradesh,53.51,61.16,24.8,-7.65,Economy-led
Meghalaya,59.16,65.17,16.0,-6.01,Economy-led
Haryana,30.17,33.01,18.2,-2.84,Economy-led
Gujarat,41.16,42.5,14.0,-1.34,Economy-led
Rajasthan,30.52,31.06,24.3,-0.54,Economy-led
Maharashtra,40.46,37.89,25.2,2.57,Voice-led
Manipur,70.27,67.47,39.6,2.8,Voice-led
West Bengal,33.61,28.2,27.0,5.41,Voice-led
Assam,48.86,40.86,32.0,8.0,Voice-led
Tripura,41.78,27.94,20.7,13.84,Voice-led
Sikkim,72.27,57.94,12.1,14.33,Voice-led
Uttarakhand,49.44,34.66,15.1,14.78,Voice-led
Puducherry,88.67,72.65,30.5,16.02,Voice-led
Chandigarh,67.65,46.44,9.7,21.21,Voice-led
Goa,83.78,53.22,8.3,30.56,Voice-led
Andaman & Nicobar Islands,77.63,42.76,17.2,34.87,Voice-led
NCT Delhi,64.34,27.87,22.6,36.47,Voice-led
Himachal Pradesh,74.8,35.75,8.3,39.05,Voice-led
Kerala,82.07,38.39,9.9,43.68,Voice-led
Mizoram,90.49,40.4,10.9,50.09,Voice-led
Lakshadweep,74.55,12.5,1.3,62.05,Voice-led
Nagaland,91.75,18.94,6.4,72.81,Voice-led
