state,indicator_num,indicator,nfhs5_total
Andaman & Nicobar Islands,119,119. Currently married women who usually participate in three household decisions25 (%),94.5
Andaman & Nicobar Islands,120,120. Women who worked in the last 12 months and were paid in cash (%),24.6
Andaman & Nicobar Islands,121,121. Women owning a house and/or land (alone or jointly with others) (%),15.8
Andaman & Nicobar Islands,122,122. Women having a bank or savings account that they themselves use (%),89.2
Andaman & Nicobar Islands,123,123. Women having a mobile phone that they themselves use (%),80.8
Andaman & Nicobar Islands,125,125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),17.2
Andhra Pradesh,119,119. Currently married women who usually participate in three household decisions25 (%),84.1
Andhra Pradesh,120,120. Women who worked in the last 12 months and were paid in cash (%),42.1
Andhra Pradesh,121,121. Women owning a house and/or land (alone or jointly with others) (%),47.8
Andhra Pradesh,122,122. Women having a bank or savings account that they themselves use (%),81.8
Andhra Pradesh,123,123. Women having a mobile phone that they themselves use (%),48.9
Andhra Pradesh,125,125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),30.0
Arunachal Pradesh,119,119. Currently married women who usually participate in three household decisions25 (%),87.0
Arunachal Pradesh,120,120. Women who worked in the last 12 months and were paid in cash (%),23.5
Arunachal Pradesh,121,121. Women owning a house and/or land (alone or jointly with others) (%),70.2
Arunachal Pradesh,122,122. Women having a bank or savings account that they themselves use (%),78.2
Arunachal Pradesh,123,123. Women having a mobile phone that they themselves use (%),76.4
Arunachal Pradesh,125,125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),24.8
Assam,119,119. Currently married women who usually participate in three household decisions25 (%),92.1
Assam,120,120. Women who worked in the last 12 months and were paid in cash (%),19.0
Assam,121,121. Women owning a house and/or land (alone or jointly with others) (%),42.7
Assam,122,122. Women having a bank or savings account that they themselves use (%),78.5
Assam,123,123. Women having a mobile phone that they themselves use (%),57.2
Assam,125,125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),32.0
Bihar,119,119. Currently married women who usually participate in three household decisions25 (%),86.5
Bihar,120,120. Women who worked in the last 12 months and were paid in cash (%),12.6
Bihar,121,121. Women owning a house and/or land (alone or jointly with others) (%),55.3
Bihar,122,122. Women having a bank or savings account that they themselves use (%),76.7
Bihar,123,123. Women having a mobile phone that they themselves use (%),51.4
Bihar,125,125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),40.0
Chandigarh,119,119. Currently married women who usually participate in three household decisions25 (%),94.6
Chandigarh,120,120. Women who worked in the last 12 months and were paid in cash (%),22.0
Chandigarh,121,121. Women owning a house and/or land (alone or jointly with others) (%),30.4
Chandigarh,122,122. Women having a bank or savings account that they themselves use (%),87.1
Chandigarh,123,123. Women having a mobile phone that they themselves use (%),70.0
Chandigarh,125,125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),9.7
Chhattisgarh,119,119. Currently married women who usually participate in three household decisions25 (%),92.7
Chhattisgarh,120,120. Women who worked in the last 12 months and were paid in cash (%),39.1
Chhattisgarh,121,121. Women owning a house and/or land (alone or jointly with others) (%),45.6
Chhattisgarh,122,122. Women having a bank or savings account that they themselves use (%),80.3
Chhattisgarh,123,123. Women having a mobile phone that they themselves use (%),40.7
Chhattisgarh,125,125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),20.2
Dadra & Nagar Haveli and Daman & Diu,119,119. Currently married women who usually participate in three household decisions25 (%),91.9
Dadra & Nagar Haveli and Daman & Diu,120,120. Women who worked in the last 12 months and were paid in cash (%),31.5
Dadra & Nagar Haveli and Daman & Diu,121,121. Women owning a house and/or land (alone or jointly with others) (%),55.8
Dadra & Nagar Haveli and Daman & Diu,122,122. Women having a bank or savings account that they themselves use (%),83.6
Dadra & Nagar Haveli and Daman & Diu,123,123. Women having a mobile phone that they themselves use (%),60.5
Dadra & Nagar Haveli and Daman & Diu,125,125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),16.8
